ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
J8LU00000004	FUNDACAO PIO XII	35009	3502	35	2	0	10	0	1	0	0	3	0	5	1	6	0	28
047500000006	INSTITUTO FEDERAL SUL RIO GRANDENSE	43026	4305	43	1	0	0	5	5	0	1	0	0	2	1	1	1	17
201100000003	FUNDACAO ANTONIO PRUDENTE	35061	3515	35	3	4	31	1	4	0	0	8	0	10	1	6	0	68
810400000006	UNIVERSIDADE TIRADENTES	28011	2803	28	5	3	3	5	5	0	0	1	0	2	0	2	0	26
J1OR00000000	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS	31048	3110	31	5	2	1	4	6	0	1	1	1	2	0	3	1	27
002100000998	LABORATORIO NACIONAL DE TECNOLOGIA DO BIOETANOL	35032	3507	35	2	2	9	0	1	2	2	2	0	2	0	4	2	28
081500000006	UNIVERSIDADE DO SAGRADO CORACAO	35020	3504	35	7	0	5	1	2	0	0	2	0	2	0	14	0	33
IWU400000003	UNIVERSIDADE FEDERAL DO ABC	35061	3515	35	15	8	18	24	24	2	18	14	0	14	19	10	10	176
377800000002	UNIVERSIDADE VILA VELHA	32009	3203	32	10	2	4	3	3	1	1	2	0	7	0	4	0	37
000700000992	CENTRO SUPERIOR DE ENSINO E DESENVOLVIMENTO	25017	2503	25	17	7	29	9	11	4	6	11	0	16	1	18	3	132
001400000995	BRASILIA MEDICAL CENTER	53001	5301	53	8	0	16	2	4	1	1	4	0	11	3	3	2	55
007700000000	INSTITUTO NACIONAL DE CANCER	33018	3306	33	6	5	50	0	4	1	0	15	0	14	3	26	3	127
